name;station_id;geopunt;lat;lon
Kortrijksesteenweg 600;16653;51.0312383, 3.7132221;51.0312383;3.7132221
Baudelo park;26354;51.05798, 3.7293022;51.05798;3.7293022
Jubileumlaan vlaggen;23819;51.0449481, 3.7076045;51.0449481;3.7076045
Drongensesteenweg 54;12129;51.0569827, 3.6998732;51.0569827;3.6998732
Charles de Kerchovelaan 4b;12149;51.0416931, 3.719268;51.0416931;3.719268
MSK - Museum voor Schone Kunsten;17120;51.0374978, 3.7239026;51.0374978;3.7239026
Recollettenlei 16;12200;51.0500352, 3.7196666;51.0500352;3.7196666
Haspelstraat 49;12131;51.0585863, 3.7022347;51.0585863;3.7022347
Charlotte Despardstraat 30;21776;51.060323, 3.6892785;51.060323;3.6892785
Emanuel Hielstraat 105;16679;51.0407663, 3.7615006;51.0407663;3.7615006
Kouter 29;12008;51.0499047, 3.7231159;51.0499047;3.7231159
Yachtdreef;12002;51.0460194, 3.7027896;51.0460194;3.7027896
Centrumplein 76;16666;51.0356267, 3.7405906;51.0356267;3.7405906
Nederpolder 26;12203;51.053271, 3.7288154;51.053271;3.7288154
Coupure 649;16612;51.052673, 3.7093688;51.052673;3.7093688
UGent Homes;16699;51.0396756, 3.7288916;51.0396756;3.7288916
Doornzelestraat 70;12382;51.0642562, 3.7324628;51.0642562;3.7324628
Karel Lodewijk Dierickxstraat 47;21710;51.0524547, 3.7053876;51.0524547;3.7053876
P+R Gentbrugge;13387;51.0324413, 3.7590644;51.0324413;3.7590644
Braemstraat 65;21753;51.0337271, 3.7630913;51.0337271;3.7630913
Stropstraat 157;16663;51.0327095, 3.7304218;51.0327095;3.7304218
Visserij 167;22219;51.0449532, 3.738983;51.0449532;3.738983
Artevelde Hogeschool Watersportbaan;23893;51.0482402, 3.7025284;51.0482402;3.7025284
Aleksander BizDev;23150;51.0630511, 3.7278671;51.0630511;3.7278671
Kerkstraat 130;13196;51.0440985, 3.7494853;51.0440985;3.7494853
